Artist,Total Streams,Average Monthly Streams,Average Weekly Streams
The Neighbourhood,19083032,6361010,1467925
Queen,98588333,32862777,7583717
Lil Nas X,19271862,6423954,1482450
Sam Smith,34695442,11565147,2668880
J Balvin,405432538,135144179,31187118
Justin Quiles,74136725,24712241,5702825
Lil Mosey,173586814,57862271,13352831
Vedo,12410094,4136698,954622
Master KG,16627547,5542515,1279042
Arizona Zervas,98677015,32892338,7590539
Labrinth,55125395,18375131,4240415
Internet Money,44233936,14744645,3402610
5 Seconds of Summer,41257158,13752386,3173627
TWICE,4592745,1530915,353288
The Weeknd,481723088,160574362,37055622
El Alfa,14088650,4696216,1083742
Jack Harlow,86457339,28819113,6650564
Saweetie,41286382,13762127,3175875
Capital Bra,11041121,3680373,849317
Mc Zaac,52421913,17473971,4032454
StaySolidRocky,164986645,54995548,12691280
Trevor Daniel,139138188,46379396,10702937
Topic,243408652,81136217,18723742
The Kid LAROI,87264373,29088124,6712644
Lil Peep,13963258,4654419,1074096
Anuel AA,201403037,67134345,15492541
Alex Rose,58836633,19612211,4525894
Jerry Di,42925785,14308595,3301983
Headie One,49501298,16500432,3807792
Melanie Martinez,96727663,32242554,7440589
Future,104570607,34856869,8043892
Drake,414787509,138262503,31906731
